
============================================================
               ACCURACY EVALUATION REPORT
============================================================

≡ƒôï Ground Truth:
  --------------------------------------------------------
  Problem      Student         ΓåÆ Expected Ref   
  p5           s2              ΓåÆ ref1           
  p5           s3              ΓåÆ ref2           
  p5           s4              ΓåÆ ref1           
  p5           s5              ΓåÆ ref1           
  p5           s6              ΓåÆ ref2           
  p5           s7              ΓåÆ ref1           
  p5           s8              ΓåÆ ref1           
  p5           s9              ΓåÆ ref1           
  p5           s10             ΓåÆ ref1           
  p5           s11             ΓåÆ ref1           
  p5           s12             ΓåÆ ref1           
  p5           s13             ΓåÆ ref1           
  p5           s14             ΓåÆ ref1           
  p5           s15             ΓåÆ ref1           
  p5           s16             ΓåÆ ref1           
  p5           s17             ΓåÆ ref2           
  p5           s18             ΓåÆ ref2           
  p5           s19             ΓåÆ ref1           
  p5           s20             ΓåÆ ref2           
  p6           s1              ΓåÆ ref1           
  p6           s2              ΓåÆ ref2           
  p6           s3              ΓåÆ ref1           
  p6           s4              ΓåÆ ref1           
  p6           s5              ΓåÆ ref2           
  p6           s6              ΓåÆ ref1           
  p6           s7              ΓåÆ ref2           
  p6           s8              ΓåÆ ref1           
  p6           s9              ΓåÆ ref1           
  p6           s10             ΓåÆ ref1           
  p6           s11             ΓåÆ ref1           
  p6           s12             ΓåÆ ref1           
  p6           s13             ΓåÆ ref1           
  p6           s14             ΓåÆ ref1           
  p6           s15             ΓåÆ ref2           
  p6           s16             ΓåÆ ref1           
  p6           s17             ΓåÆ ref1           
  p6           s18             ΓåÆ ref1           
  p6           s19             ΓåÆ ref1           
  p6           s20             ΓåÆ ref1           
  p7           s1              ΓåÆ ref1           
  p7           s2              ΓåÆ ref2           
  p7           s3              ΓåÆ ref1           
  p7           s4              ΓåÆ ref1           
  p7           s5              ΓåÆ ref2           
  p7           s6              ΓåÆ ref1           
  p7           s7              ΓåÆ ref1           
  p7           s8              ΓåÆ ref1           
  p7           s9              ΓåÆ ref1           
  p7           s10             ΓåÆ ref1           
  p7           s11             ΓåÆ ref1           
  p7           s12             ΓåÆ ref1           
  p7           s13             ΓåÆ ref1           
  p7           s14             ΓåÆ ref1           
  p7           s15             ΓåÆ ref1           
  p7           s16             ΓåÆ ref1           
  p7           s17             ΓåÆ ref1           
  p7           s18             ΓåÆ ref1           
  p7           s19             ΓåÆ ref1           
  p7           s20             ΓåÆ ref1           
  p8           s1              ΓåÆ ref1           
  p8           s2              ΓåÆ ref2           
  p8           s3              ΓåÆ ref1           
  p8           s4              ΓåÆ ref1           
  p8           s5              ΓåÆ ref1           
  p8           s6              ΓåÆ ref2           
  p8           s7              ΓåÆ ref1           
  p8           s8              ΓåÆ ref2           
  p8           s9              ΓåÆ ref1           
  p8           s10             ΓåÆ ref1           
  p8           s11             ΓåÆ ref2           
  p8           s12             ΓåÆ ref1           
  p8           s13             ΓåÆ ref1           
  p8           s14             ΓåÆ ref2           
  p8           s15             ΓåÆ ref1           
  p8           s16             ΓåÆ ref2           
  p8           s17             ΓåÆ ref1           
  p8           s18             ΓåÆ ref1           
  p8           s19             ΓåÆ ref1           
  p8           s20             ΓåÆ ref1           
  p9           s1              ΓåÆ ref1           
  p9           s2              ΓåÆ ref2           
  p9           s3              ΓåÆ ref1           
  p9           s4              ΓåÆ ref1           
  p9           s5              ΓåÆ ref2           
  p9           s6              ΓåÆ ref1           
  p9           s7              ΓåÆ ref2           
  p9           s8              ΓåÆ ref1           
  p9           s9              ΓåÆ ref1           
  p9           s10             ΓåÆ ref2           
  p9           s11             ΓåÆ ref1           
  p9           s12             ΓåÆ ref1           
  p9           s13             ΓåÆ ref1           
  p9           s14             ΓåÆ ref1           
  p9           s15             ΓåÆ ref2           
  p9           s16             ΓåÆ ref1           
  p9           s17             ΓåÆ ref1           
  p9           s18             ΓåÆ ref2           
  p9           s19             ΓåÆ ref1           
  p9           s20             ΓåÆ ref1           
  --------------------------------------------------------

≡ƒÄ» Predictions:
  --------------------------------------------------------
  Student         Predicted       Expected        Status  
  --------------------------------------------------------
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref1            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref1            ref1            Γ£ô       
  s14             ref1            ref1            Γ£ô       
  s15             ref1            ref1            Γ£ô       
  s16             ref2            ref2            Γ£ô       
  s17             ref1            ref1            Γ£ô       
  s18             ref3            ref3            Γ£ô       
  s19             ref1            ref1            Γ£ô       
  s2              ref1            ref1            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref2            ref2            Γ£ô       
  s4              ref3            ref3            Γ£ô       
  s5              ref1            ref1            Γ£ô       
  s6              ref2            ref2            Γ£ô       
  s7              ref1            ref1            Γ£ô       
  s8              ref1            ref1            Γ£ô       
  s9              ref3            ref3            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref1            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref1            ref1            Γ£ô       
  s14             ref2            ref2            Γ£ô       
  s15             ref1            ref1            Γ£ô       
  s16             ref1            ref1            Γ£ô       
  s17             ref1            ref1            Γ£ô       
  s18             ref2            ref2            Γ£ô       
  s19             ref1            ref1            Γ£ô       
  s2              ref2            ref2            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref2            ref2            Γ£ô       
  s6              ref1            ref1            Γ£ô       
  s7              ref1            ref1            Γ£ô       
  s8              ref1            ref1            Γ£ô       
  s9              ref1            ref1            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref1            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref1            ref1            Γ£ô       
  s14             ref1            ref1            Γ£ô       
  s15             ref1            ref1            Γ£ô       
  s16             ref1            ref1            Γ£ô       
  s17             ref2            ref2            Γ£ô       
  s18             ref1            ref1            Γ£ô       
  s19             ref1            ref1            Γ£ô       
  s2              ref2            ref2            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref2            ref2            Γ£ô       
  s6              ref1            ref1            Γ£ô       
  s7              ref1            ref1            Γ£ô       
  s8              ref1            ref2            Γ£ù       
  s9              ref2            ref2            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref1            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref2            ref2            Γ£ô       
  s13             ref1            ref1            Γ£ô       
  s14             ref1            ref1            Γ£ô       
  s15             ref1            ref1            Γ£ô       
  s16             ref1            ref1            Γ£ô       
  s17             ref2            ref2            Γ£ô       
  s18             ref1            ref1            Γ£ô       
  s19             ref2            ref2            Γ£ô       
  s2              ref2            ref2            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref2            ref2            Γ£ô       
  s6              ref1            ref1            Γ£ô       
  s7              ref2            ref2            Γ£ô       
  s8              ref1            ref1            Γ£ô       
  s9              ref1            ref1            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref2            ref2            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref2            ref2            Γ£ô       
  s14             ref1            ref1            Γ£ô       
  s15             ref2            ref2            Γ£ô       
  s16             ref1            ref1            Γ£ô       
  s17             ref1            ref1            Γ£ô       
  s18             ref1            ref1            Γ£ô       
  s19             ref1            ref1            Γ£ô       
  s2              ref2            ref2            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref2            ref2            Γ£ô       
  s6              ref1            ref1            Γ£ô       
  s7              ref1            ref1            Γ£ô       
  s8              ref2            ref2            Γ£ô       
  s9              ref1            ref1            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref1            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref2            Γ£ù       
  s13             ref1            ref1            Γ£ô       
  s14             ref1            ref1            Γ£ô       
  s15             ref1            ref1            Γ£ô       
  s16             ref1            ref1            Γ£ô       
  s17             ref1            ref1            Γ£ô       
  s18             ref1            ref1            Γ£ô       
  s19             ref1            ref2            Γ£ù       
  s2              ref1            ref2            Γ£ù       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref1            ref2            Γ£ù       
  s6              ref1            ref1            Γ£ô       
  s7              ref1            ref2            Γ£ù       
  s8              ref1            ref1            Γ£ô       
  s9              ref1            ref1            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref1            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref2            ref2            Γ£ô       
  s14             ref1            ref1            Γ£ô       
  s15             ref1            ref1            Γ£ô       
  s16             ref1            ref1            Γ£ô       
  s17             ref1            ref1            Γ£ô       
  s18             ref2            ref2            Γ£ô       
  s19             ref1            ref1            Γ£ô       
  s2              ref2            ref2            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref2            ref2            Γ£ô       
  s6              ref1            ref1            Γ£ô       
  s7              ref2            ref2            Γ£ô       
  s8              ref1            ref1            Γ£ô       
  s9              ref1            ref1            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref1            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref1            ref1            Γ£ô       
  s14             ref1            ref1            Γ£ô       
  s15             ref2            ref2            Γ£ô       
  s16             ref2            ref2            Γ£ô       
  s17             ref2            ref2            Γ£ô       
  s18             ref2            ref2            Γ£ô       
  s19             ref1            ref1            Γ£ô       
  s2              ref2            ref2            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref2            ref2            Γ£ô       
  s6              ref1            ref1            Γ£ô       
  s7              ref1            ref1            Γ£ô       
  s8              ref2            ref2            Γ£ô       
  s9              ref1            ref1            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref2            ref2            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref2            ref2            Γ£ô       
  s13             ref1            ref1            Γ£ô       
  s14             ref1            ref1            Γ£ô       
  s15             ref2            ref2            Γ£ô       
  s16             ref1            ref1            Γ£ô       
  s17             ref1            ref1            Γ£ô       
  s18             ref1            ref2            Γ£ù       
  s19             ref1            ref1            Γ£ô       
  s2              ref2            ref2            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref1            ref1            Γ£ô       
  s6              ref1            ref2            Γ£ù       
  s7              ref1            ref1            Γ£ô       
  s8              ref1            ref1            Γ£ô       
  s9              ref1            ref1            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref1            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref1            ref1            Γ£ô       
  s14             ref1            ref1            Γ£ô       
  s15             ref1            ref1            Γ£ô       
  s16             ref1            ref1            Γ£ô       
  s17             ref1            ref1            Γ£ô       
  s18             ref1            ref1            Γ£ô       
  s19             ref1            ref1            Γ£ô       
  s2              ref2            ref2            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref1            ref1            Γ£ô       
  s6              ref2            ref2            Γ£ô       
  s7              ref1            ref1            Γ£ô       
  s8              ref1            ref1            Γ£ô       
  s9              ref2            ref2            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref2            Γ£ù       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref2            ref1            Γ£ù       
  s14             ref1            ref1            Γ£ô       
  s15             ref1            ref1            Γ£ô       
  s16             ref1            ref1            Γ£ô       
  s17             ref1            ref1            Γ£ô       
  s18             ref2            ref1            Γ£ù       
  s19             ref1            ref1            Γ£ô       
  s2              ref1            ref1            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref1            ref1            Γ£ô       
  s6              ref2            ref2            Γ£ô       
  s7              ref1            ref2            Γ£ù       
  s8              ref1            ref1            Γ£ô       
  s9              ref1            ref1            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref1            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref1            ref1            Γ£ô       
  s14             ref2            ref2            Γ£ô       
  s15             ref1            ref1            Γ£ô       
  s16             ref1            ref1            Γ£ô       
  s17             ref2            ref2            Γ£ô       
  s18             ref1            ref1            Γ£ô       
  s19             ref1            ref1            Γ£ô       
  s2              ref2            ref2            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref2            ref2            Γ£ô       
  s6              ref1            ref1            Γ£ô       
  s7              ref1            ref1            Γ£ô       
  s8              ref1            ref2            Γ£ù       
  s9              ref1            ref1            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref1            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref1            ref1            Γ£ô       
  s14             ref1            ref1            Γ£ô       
  s15             ref1            ref1            Γ£ô       
  s16             ref1            ref1            Γ£ô       
  s17             ref1            ref1            Γ£ô       
  s18             ref1            ref1            Γ£ô       
  s19             ref1            ref1            Γ£ô       
  s2              ref1            ref1            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref1            ref1            Γ£ô       
  s6              ref2            ref2            Γ£ô       
  s7              ref2            ref2            Γ£ô       
  s8              ref1            ref2            Γ£ù       
  s9              ref2            ref2            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref1            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref1            ref1            Γ£ô       
  s14             ref2            ref2            Γ£ô       
  s15             ref1            ref1            Γ£ô       
  s16             ref2            ref2            Γ£ô       
  s17             ref1            ref1            Γ£ô       
  s18             ref1            ref1            Γ£ô       
  s19             ref2            ref2            Γ£ô       
  s2              ref2            ref2            Γ£ô       
  s20             ref2            ref1            Γ£ù       
  s3              ref1            ref1            Γ£ô       
  s4              ref2            ref1            Γ£ù       
  s5              ref2            ref2            Γ£ô       
  s6              ref2            ref1            Γ£ù       
  s7              ref1            ref1            Γ£ô       
  s8              ref2            ref1            Γ£ù       
  s9              ref2            ref2            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref1            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref2            ref2            Γ£ô       
  s14             ref1            ref1            Γ£ô       
  s15             ref1            ref2            Γ£ù       
  s16             ref2            ref2            Γ£ô       
  s17             ref1            ref1            Γ£ô       
  s18             ref1            ref1            Γ£ô       
  s19             ref2            ref2            Γ£ô       
  s2              ref1            ref1            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref2            Γ£ù       
  s4              ref1            ref1            Γ£ô       
  s5              ref2            ref2            Γ£ô       
  s6              ref1            ref1            Γ£ô       
  s7              ref1            ref1            Γ£ô       
  s8              ref1            ref1            Γ£ô       
  s9              ref1            ref1            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref1            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref1            ref1            Γ£ô       
  s14             ref1            ref1            Γ£ô       
  s15             ref1            ref1            Γ£ô       
  s16             ref1            ref1            Γ£ô       
